mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spec_centroid,spec_bw,rolloff,zcr,label
-75.36613,83.33488,10.703896,14.455102,14.244521,7.4102573,5.279713,-0.4001259,5.7177563,3.3618035,-2.521102,-4.227081,-1.845522,0.3000909,0.3791849,0.47011828,0.32529423,0.34228867,0.31392196,0.4427254,0.40113723,0.3394768,0.41950357,0.37264565,0.4225669,2682.713194799874,2924.230379942181,5957.288977088574,0.1019147276509288,pop
-69.00193,73.77,-12.468982,9.536623,-0.045610458,12.718271,3.1650596,-0.084657654,2.5223582,2.8746746,-1.6729782,-3.025172,1.614928,0.54463905,0.3507334,0.38803208,0.33771315,0.39116663,0.4300086,0.44777724,0.53182083,0.40409365,0.41886207,0.35383192,0.47614253,2835.0593021892837,2731.7531718304963,5945.014051313371,0.13706266326431887,pop
-113.1695,41.588142,21.516308,11.092117,17.440653,0.6074316,3.0293286,0.08450875,3.4569807,0.2906402,0.61601543,1.2555636,2.8942456,0.44348058,0.4932909,0.3737621,0.47801247,0.47693446,0.34438592,0.38950938,0.4031716,0.49145693,0.38340172,0.3909278,0.45145693,4225.564575455603,3404.2193029459822,8483.032037599169,0.22873671209849072,pop
-73.36742,97.46428,16.87055,-0.57903767,7.180089,4.872417,0.7465055,-5.5500164,0.9903747,4.9166174,-5.8354435,-4.9214163,-0.030956399,0.46378896,0.28745392,0.316596,0.24600798,0.32340488,0.26718265,0.25042027,0.5417893,0.391104,0.34660313,0.24407439,0.3419296,2526.130442686517,2848.670626274591,5554.674744975087,0.10354207986648607,pop
-18.171194,72.29644,-4.867231,-0.35958102,1.6975715,-0.9182093,-1.3221729,-0.34197286,0.64732283,-0.1809803,-1.2175112,-1.0574641,2.5195053,0.40088522,0.53338075,0.2907768,0.37262848,0.26026064,0.3725746,0.25683156,0.28990224,0.4687373,0.32162455,0.4413841,0.28339642,3070.6451711304394,2975.8591939206276,6652.968103745405,0.14873984133126936,pop
-40.830166,61.521126,9.867293,10.09655,8.454962,5.366854,8.376651,3.5050008,8.251043,5.8800583,-0.10423893,-0.5703608,0.55144525,0.3586148,0.4468541,0.34865168,0.39423853,0.46242312,0.3738118,0.43994263,0.42223248,0.512577,0.4402347,0.33429304,0.3978973,3301.8647028211412,3175.6669505910377,7302.64750855626,0.14452671488003097,pop
-48.958145,62.637794,34.22583,12.313788,16.560747,8.622408,8.7671175,5.245012,6.79424,9.059274,-4.085325,-0.7463065,-0.37564674,0.47454077,0.3863184,0.36733168,0.4858429,0.3927093,0.36733738,0.30678365,0.42921707,0.53286076,0.38103515,0.4174715,0.37867758,3433.92215467519,3405.627632829895,7932.5853660748835,0.12773467734133126,pop
-25.156342,70.818924,2.9392478,7.5544662,1.4596194,2.8461227,1.9075499,-6.8259797,0.291451,-1.9537078,-6.6516356,-0.24398105,-0.7550278,0.4870998,0.3869969,0.49587905,0.4987117,0.31767917,0.28536332,0.2973532,0.4753176,0.2973557,0.24597114,0.36696953,0.36567003,3130.9812160844167,2944.782384135563,6552.402045187935,0.15605347813467493,pop
-106.83286,81.01405,47.822872,13.640558,13.000602,6.8951917,7.581348,-2.6333249,-2.4983122,1.8714975,-5.139433,-2.7431228,-3.6675773,0.3348667,0.32070336,0.43675676,0.3198756,0.34217197,0.25365674,0.33588818,0.4469545,0.30039734,0.31532136,0.26955724,0.28822675,2928.6503834649243,3201.0195484910073,6817.467109042424,0.10574085719814241,pop
-18.854591,71.32852,-3.743232,-1.3965917,0.71034753,-1.0491368,-1.0524067,-0.24947147,0.62396353,0.42929915,-1.4892838,-1.0790832,2.415428,0.41269454,0.5371377,0.30048683,0.37944496,0.26979354,0.3804133,0.26501057,0.30320096,0.47377816,0.33159313,0.4450528,0.2937996,3111.0610992009765,2992.1921120372886,6745.27587890625,0.15291026206946595,pop
